지역명,동,평균
서울특별시 종로구 사직동,사직동,37.33333333
서울특별시 종로구 삼청동,삼청동,11.66666667
서울특별시 종로구 부암동,부암동,42.16666667
서울특별시 종로구 평창동,평창동,67.66666667
서울특별시 종로구 무악동,무악동,38
서울특별시 종로구 교남동,교남동,29.5
서울특별시 종로구 가회동,가회동,15.66666667
서울특별시 종로구 종로1·2·3·4가동,종로1·2·3·4가동,44.83333333
서울특별시 종로구 종로5·6가동,종로5·6가동,29
서울특별시 종로구 이화동,이화동,36
서울특별시 종로구 창신1동,창신1동,30.16666667
서울특별시 종로구 창신2동,창신2동,65.33333333
서울특별시 종로구 창신3동,창신3동,30.33333333
서울특별시 종로구 숭인1동,숭인1동,25.66666667
서울특별시 종로구 숭인2동,숭인2동,54
서울특별시 종로구 청운효자동,청운효자동,114.8333333
서울특별시 종로구 혜화동,혜화동,61.5
서울특별시 중구 소공동,소공동,5.166666667
서울특별시 중구 회현동,회현동,72.33333333
서울특별시 중구 명동,명동,24.66666667
서울특별시 중구 필동,필동,31.83333333
서울특별시 중구 장충동,장충동,23
서울특별시 중구 광희동,광희동,31.33333333
서울특별시 중구 을지로동,을지로동,11.16666667
서울특별시 중구 신당5동,신당5동,47.83333333
서울특별시 중구 황학동,황학동,60.16666667
서울특별시 중구 중림동,중림동,76.5
서울특별시 중구 신당동,신당동,49.33333333
서울특별시 중구 다산동,다산동,74.33333333
서울특별시 중구 약수동,약수동,103.5
서울특별시 중구 청구동,청구동,70.66666667
서울특별시 중구 동화동,동화동,44.33333333
서울특별시 용산구 후암동,후암동,95.66666667
서울특별시 용산구 용산2가동,용산2가동,54
서울특별시 용산구 남영동,남영동,80
서울특별시 용산구 원효로2동,원효로2동,63.5
서울특별시 용산구 효창동,효창동,40.33333333
서울특별시 용산구 용문동,용문동,49.5
서울특별시 용산구 이촌1동,이촌1동,58.5
서울특별시 용산구 이촌2동,이촌2동,35.33333333
서울특별시 용산구 이태원1동,이태원1동,20
서울특별시 용산구 이태원2동,이태원2동,42.83333333
서울특별시 용산구 서빙고동,서빙고동,37.5
서울특별시 용산구 보광동,보광동,89
서울특별시 용산구 청파동,청파동,121
