지역명,동,평균
서울특별시 종로구 사직동,사직동,0.080603531
서울특별시 종로구 삼청동,삼청동,0.012900047
서울특별시 종로구 부암동,부암동,0.073077223
서울특별시 종로구 평창동,평창동,0.124898847
서울특별시 종로구 무악동,무악동,0.064595573
서울특별시 종로구 교남동,교남동,0.079798019
서울특별시 종로구 가회동,가회동,0.020630165
서울특별시 종로구 종로1·2·3·4가동,종로1·2·3·4가동,0.166601851
서울특별시 종로구 종로5·6가동,종로5·6가동,0.047365446
서울특별시 종로구 이화동,이화동,0.214767662
서울특별시 종로구 창신1동,창신1동,0.04992168
서울특별시 종로구 창신2동,창신2동,0.118139317
서울특별시 종로구 창신3동,창신3동,0.049415615
서울특별시 종로구 숭인1동,숭인1동,0.040252454
서울특별시 종로구 숭인2동,숭인2동,0.096299325
서울특별시 종로구 청운효자동,청운효자동,0.276549655
서울특별시 종로구 혜화동,혜화동,0.111580655
서울특별시 중구 소공동,소공동,0.000559174
서울특별시 중구 회현동,회현동,0.149264137
서울특별시 중구 명동,명동,0.063725888
서울특별시 중구 필동,필동,0.052658997
서울특별시 중구 장충동,장충동,0.03616082
서울특별시 중구 광희동,광희동,0.06166403
서울특별시 중구 을지로동,을지로동,0.011811667
서울특별시 중구 신당5동,신당5동,0.083984165
서울특별시 중구 황학동,황학동,0.108658001
서울특별시 중구 중림동,중림동,0.140243865
서울특별시 중구 신당동,신당동,0.086722768
서울특별시 중구 다산동,다산동,0.135811127
서울특별시 중구 약수동,약수동,0.193080879
서울특별시 중구 청구동,청구동,0.128611501
서울특별시 중구 동화동,동화동,0.076905096
서울특별시 용산구 후암동,후암동,0.177847812
서울특별시 용산구 용산2가동,용산2가동,0.095894631
서울특별시 용산구 남영동,남영동,0.161622117
서울특별시 용산구 원효로2동,원효로2동,0.114596075
서울특별시 용산구 효창동,효창동,0.074251057
서울특별시 용산구 용문동,용문동,0.087071781
서울특별시 용산구 이촌1동,이촌1동,0.105357158
서울특별시 용산구 이촌2동,이촌2동,0.05925722
서울특별시 용산구 이태원1동,이태원1동,0.0292389
서울특별시 용산구 이태원2동,이태원2동,0.073959794
서울특별시 용산구 서빙고동,서빙고동,0.071505336
서울특별시 용산구 보광동,보광동,0.164977336
서울특별시 용산구 청파동,청파동,0.227797381
서울특별시 용산구 원효로1동,원효로1동,0.1067093
서울특별시 용산구 한강로동,한강로동,0.169190857
서울특별시 용산구 한남동,한남동,0.133084001
서울특별시 성동구 왕십리2동,왕십리2동,0.127869465
서울특별시 성동구 마장동,마장동,0.226212579
서울특별시 성동구 사근동,사근동,0.080738033
서울특별시 성동구 행당1동,행당1동,0.110314363
서울특별시 성동구 행당2동,행당2동,0.197024464
서울특별시 성동구 응봉동,응봉동,0.103085554
서울특별시 성동구 금호1가동,금호1가동,0.1265013
서울특별시 성동구 금호4가동,금호4가동,0.098530083
서울특별시 성동구 성수1가1동,성수1가1동,0.124974409
서울특별시 성동구 성수1가2동,성수1가2동,0.088815959
서울특별시 성동구 성수2가1동,성수2가1동,0.163361529
서울특별시 성동구 성수2가3동,성수2가3동,0.087508222
서울특별시 성동구 송정동,송정동,0.092931034
서울특별시 성동구 용답동,용답동,0.126226263
서울특별시 성동구 왕십리도선동,왕십리도선동,0.275751146
서울특별시 성동구 금호2·3가동,금호2·3가동,0.165429501
