,지역명,동,평균,승차건수
0,서울특별시 종로구 사직동,사직동,37.33333333,8017.0
1,서울특별시 종로구 삼청동,삼청동,11.66666667,63.0
2,서울특별시 종로구 부암동,부암동,42.16666667,196.0
3,서울특별시 종로구 평창동,평창동,67.66666667,1001.0
4,서울특별시 종로구 무악동,무악동,38.0,58.0
5,서울특별시 종로구 교남동,교남동,29.5,14716.0
6,서울특별시 종로구 가회동,가회동,15.66666667,6.0
7,서울특별시 종로구 종로1·2·3·4가동,종로1·2·3·4가동,44.83333333,40774.0
8,서울특별시 종로구 종로5·6가동,종로5·6가동,29.0,261.0
9,서울특별시 종로구 이화동,이화동,36.0,70883.0
10,서울특별시 종로구 창신1동,창신1동,30.16666667,383.0
11,서울특별시 종로구 창신2동,창신2동,65.33333333,0.0
12,서울특별시 종로구 창신3동,창신3동,30.33333333,0.0
13,서울특별시 종로구 숭인1동,숭인1동,25.66666667,0.0
14,서울특별시 종로구 숭인2동,숭인2동,54.0,190.0
15,서울특별시 종로구 청운효자동,청운효자동,114.83333329999999,28135.0
16,서울특별시 종로구 혜화동,혜화동,61.5,445.0
17,서울특별시 중구 소공동,소공동,5.166666667,257.0
18,서울특별시 중구 회현동,회현동,72.33333333,7988.0
19,서울특별시 중구 명동,명동,24.66666667,11691.0
20,서울특별시 중구 필동,필동,31.83333333,137.0
21,서울특별시 중구 장충동,장충동,23.0,526.0
22,서울특별시 중구 광희동,광희동,31.33333333,4727.0
23,서울특별시 중구 을지로동,을지로동,11.16666667,14.0
24,서울특별시 중구 신당5동,신당5동,47.83333333,95.0
25,서울특별시 중구 황학동,황학동,60.16666667,305.0
26,서울특별시 중구 중림동,중림동,76.5,82.0
27,서울특별시 중구 신당동,신당동,49.33333333,0.0
28,서울특별시 중구 다산동,다산동,74.33333333,0.0
29,서울특별시 중구 약수동,약수동,103.5,0.0
30,서울특별시 중구 청구동,청구동,70.66666667,0.0
31,서울특별시 중구 동화동,동화동,44.33333333,0.0
32,서울특별시 용산구 후암동,후암동,95.66666667,68.0
