구명,name,평균
강남구,강남구,0.374307486
강동구,강동구,0.472607392
강북구,강북구,0.523583726
강서구,강서구,0.833834024
관악구,관악구,0.551686301
광진구,광진구,0.236506278
구로구,구로구,0.435591867
금천구,금천구,0.150027732
노원구,노원구,0.983471991
도봉구,도봉구,0.358311964
동대문구,동대문구,0.322644476
동작구,동작구,0.334703074
마포구,마포구,0.362523815
서대문구,서대문구,0.326051682
서초구,서초구,0.203820734
성동구,성동구,0.177299286
성북구,성북구,0.446663942
송파구,송파구,0.495710222
양천구,양천구,0.393701249
영등포구,영등포구,0.370461393
용산구,용산구,0.091557647
은평구,은평구,0.645404307
종로구,종로구,0.077961742
중구,중구,0.000533902
중랑구,중랑구,0.512150552
